n,QS_v2_Comparaciones,QS_v2_Intercambios,Bubble_Comparaciones,Bubble_Intercambios,FlagBubble_Comparaciones,FlagBubble_Intercambios,Insertion_Comparaciones,Insertion_Intercambios,Selection_Comparaciones,Selection_Intercambios
1,0,0,0,0,0,0,0,0,0,0
2,2,3,1,0,1,0,0,0,1,1
4,6,7,6,0,3,0,0,0,6,3
8,17,16,28,0,7,0,0,0,28,7
16,46,37,120,0,15,0,0,0,120,15
32,119,86,496,0,31,0,0,0,496,31
64,296,199,2016,0,63,0,0,0,2016,63
128,713,456,8128,0,127,0,0,0,8128,127
256,1674,1033,32640,0,255,0,0,0,32640,255
512,3851,2314,130816,0,511,0,0,0,130816,511
1024,8716,5131,523776,0,1023,0,0,0,523776,1023
2048,19469,11276,2096128,0,2047,0,0,0,2096128,2047
4096,43022,24589,8386560,0,4095,0,0,0,8386560,4095
8192,94223,53262,33550336,0,8191,0,0,0,33550336,8191
16384,204816,114703,134209536,0,16383,0,0,0,134209536,16383
32768,442385,245776,536854528,0,32767,0,0,0,536854528,32767
65536,950290,524305,2147450880,0,65535,0,0,0,2147450880,65535
